dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
-80,early,4,80,700,7,220,"[192, 392]","['lower', 'higher']","[6, 3]",2,103,2,2444,"[-28, 172]","[28, 172]"
,,,,700,7,40000,,,,,104,2,2057,[False],[False]
-4,early,4,4,700,7,440,"[192, 192]","['lower', 'lower']","[2, 3]",2,105,2,2497,"[-248, -248]","[248, 248]"
-27,early,6,27,700,7,192,"[220, 220]","['higher', 'higher']","[5, 4]",2,106,2,2094,"[28, 28]","[28, 28]"
,,,,700,7,40000,,,,,107,2,2341,[False],[False]
100,late,6,100,700,7,440,[392],['lower'],[3],1,108,2,2495,[-48],[48]
-100,early,4,100,700,7,192,"[220, 392]","['higher', 'higher']","[3, 7]",2,1,3,2222,"[28, 200]","[28, 200]"
,,,,700,7,40000,,,,,2,3,2104,[False],[False]
-4,early,6,4,700,7,192,[392],['higher'],[4],1,3,3,2117,[200],[200]
,,,,700,7,40000,,,,,4,3,2323,[False],[False]
48,late,5,48,700,7,192,[220],['higher'],[3],1,5,3,2107,[28],[28]
,,,,700,7,40000,,,,,6,3,2425,[False],[False]
36,late,4,36,700,7,440,"[220, 192]","['lower', 'lower']","[7, 3]",2,7,3,2006,"[-220, -248]","[220, 248]"
48,late,6,48,700,7,192,[False],['standard'],[False],0,8,3,2230,[False],[False]
-4,early,4,4,700,7,440,"[192, 192]","['lower', 'lower']","[2, 3]",2,9,3,2414,"[-248, -248]","[248, 248]"
,,,,700,7,40000,,,,,10,3,2140,[False],[False]
-27,early,4,27,700,7,392,"[440, 192, 440]","['higher', 'lower', 'higher']","[3, 6, 2]",3,11,3,2017,"[48, -200, 48]","[48, 200, 48]"
8,late,4,8,700,7,192,"[392, 220, 392]","['higher', 'higher', 'higher']","[2, 3, 6]",3,12,3,2283,"[200, 28, 200]","[200, 28, 200]"
,,,,700,7,40000,,,,,13,3,2199,[False],[False]
-19,early,6,19,700,7,392,[192],['lower'],[4],1,14,3,2096,[-200],[200]
,,,,700,7,40000,,,,,15,3,2081,[False],[False]
-80,early,5,80,700,7,392,"[192, 440, 192]","['lower', 'higher', 'lower']","[7, 2, 3]",3,16,3,2427,"[-200, 48, -200]","[200, 48, 200]"
0,on_time,5,0,700,7,392,"[440, 220]","['higher', 'lower']","[3, 7]",2,17,3,2171,"[48, -172]","[48, 172]"
,,,,700,7,40000,,,,,18,3,2408,[False],[False]
-125,early,4,125,700,7,392,"[220, 440]","['lower', 'higher']","[3, 6]",2,19,3,2029,"[-172, 48]","[172, 48]"
,,,,700,7,40000,,,,,20,3,2307,[False],[False]
19,late,5,19,700,7,220,[392],['higher'],[3],1,21,3,2246,[172],[172]
13,late,4,13,700,7,220,"[192, 392, 392]","['lower', 'higher', 'higher']","[2, 6, 7]",3,22,3,2491,"[-28, 172, 172]","[28, 172, 172]"
63,late,4,63,700,7,392,[False],['standard'],[False],0,23,3,2231,[False],[False]
,,,,700,7,40000,,,,,24,3,2278,[False],[False]
-19,early,4,19,700,7,220,"[192, 192]","['lower', 'lower']","[7, 3]",2,25,3,2054,"[-28, -28]","[28, 28]"
-100,early,4,100,700,7,192,"[220, 392]","['higher', 'higher']","[3, 7]",2,26,3,2018,"[28, 200]","[28, 200]"
-80,early,4,80,700,7,220,"[192, 392]","['lower', 'higher']","[6, 3]",2,27,3,2485,"[-28, 172]","[28, 172]"
36,late,4,36,700,7,440,"[220, 192]","['lower', 'lower']","[7, 3]",2,28,3,2327,"[-220, -248]","[220, 248]"
,,,,700,7,40000,,,,,29,3,2287,[False],[False]
-125,early,6,125,700,7,192,"[220, 440, 220]","['higher', 'higher', 'higher']","[2, 4, 3]",3,30,3,2010,"[28, 248, 28]","[28, 248, 28]"
,,,,700,7,40000,,,,,31,3,2169,[False],[False]
27,late,5,27,700,7,192,[440],['higher'],[7],1,32,3,2112,[248],[248]
-4,early,5,4,700,7,392,[192],['lower'],[2],1,33,3,2116,[-200],[200]
-19,early,4,19,700,7,220,"[192, 192]","['lower', 'lower']","[7, 3]",2,34,3,2067,"[-28, -28]","[28, 28]"
27,late,4,27,700,7,392,"[192, 220, 192]","['lower', 'lower', 'lower']","[7, 2, 3]",3,35,3,2331,"[-200, -172, -200]","[200, 172, 200]"
,,,,700,7,40000,,,,,36,3,2152,[False],[False]
63,late,4,63,700,7,392,[False],['standard'],[False],0,37,3,2168,[False],[False]
,,,,700,7,40000,,,,,38,3,2132,[False],[False]
-80,early,6,80,700,7,192,[False],['standard'],[False],0,39,3,2430,[False],[False]
0,on_time,5,0,700,7,440,[192],['lower'],[7],1,40,3,2373,[-248],[248]
0,on_time,4,0,700,7,440,"[192, 192, 392]","['lower', 'lower', 'lower']","[2, 6, 7]",3,41,3,2085,"[-248, -248, -48]","[248, 248, 48]"
,,,,700,7,40000,,,,,42,3,2055,[False],[False]
125,late,6,125,700,7,192,[False],['standard'],[False],0,43,3,2472,[False],[False]
19,late,5,19,700,7,220,[392],['higher'],[3],1,44,3,2239,[172],[172]
,,,,700,7,40000,,,,,45,3,2056,[False],[False]
